sep=,
Size,Average operations
8800,1.3554e+05
8805,1.3154e+05
8810,1.3394e+05
8815,1.3454e+05
8820,1.3586e+05
8825,1.3602e+05
8830,1.3541e+05
8835,1.3521e+05
8840,1.3396e+05
8845,1.3479e+05
8850,1.3523e+05
8855,1.3359e+05
8860,1.3594e+05
8865,1.3614e+05
8870,1.3569e+05
8875,1.359e+05
8880,1.3626e+05
8885,1.3867e+05
8890,1.3409e+05
8895,1.3659e+05
8900,1.3765e+05
8905,1.3535e+05
8910,1.3897e+05
8915,1.406e+05
8920,1.3929e+05
8925,1.3559e+05
8930,1.3683e+05
8935,1.3577e+05
8940,1.3497e+05
8945,1.3993e+05
8950,1.3503e+05
8955,1.3344e+05
8960,1.3783e+05
8965,1.4128e+05
8970,1.3826e+05
8975,1.3729e+05
8980,1.391e+05
8985,1.3683e+05
8990,1.3832e+05
8995,1.3903e+05
9000,1.4014e+05
9005,1.3567e+05
9010,1.3973e+05
9015,1.3937e+05
9020,1.3843e+05
9025,1.3735e+05
9030,1.3767e+05
9035,1.4057e+05
9040,1.3877e+05
9045,1.4114e+05
9050,1.3969e+05
9055,1.3584e+05
9060,1.3795e+05
9065,1.3843e+05
9070,1.3836e+05
9075,1.4115e+05
9080,1.3846e+05
9085,1.3718e+05
9090,1.4002e+05
9095,1.4202e+05
9100,1.4376e+05
9105,1.4267e+05
9110,1.4158e+05
9115,1.404e+05
9120,1.4075e+05
9125,1.4273e+05
9130,1.3902e+05
9135,1.391e+05
9140,1.4162e+05
9145,1.4078e+05
9150,1.4383e+05
9155,1.3744e+05
9160,1.4266e+05
9165,1.4108e+05
9170,1.4127e+05
9175,1.4326e+05
9180,1.4031e+05
9185,1.4184e+05
9190,1.3977e+05
9195,1.3879e+05
9200,1.435e+05
9205,1.4498e+05
9210,1.4643e+05
9215,1.4324e+05
9220,1.4208e+05
9225,1.4661e+05
9230,1.4153e+05
9235,1.413e+05
9240,1.3957e+05
9245,1.4545e+05
9250,1.4306e+05
9255,1.4042e+05
9260,1.4431e+05
9265,1.4232e+05
9270,1.4691e+05
9275,1.4527e+05
9280,1.4227e+05
9285,1.4886e+05
9290,1.4428e+05
9295,1.4542e+05
9300,1.4428e+05
9305,1.4413e+05
9310,1.4535e+05
9315,1.4269e+05
9320,1.4328e+05
9325,1.4311e+05
9330,1.4694e+05
9335,1.4369e+05
9340,1.467e+05
9345,1.4167e+05
9350,1.4389e+05
9355,1.4513e+05
9360,1.4229e+05
9365,1.4542e+05
